Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,"Location",County,Lat,Long,Call,Use,Op Status,Mode,Digital Access,EchoLink,IRLP,AllStar,Coverage,Last Update
145.38500,144.78500,-,,,"Colorado Springs - Cheyenne Mountain",El Paso,38.74449921,-104.86199951,KC0CVU,OPEN,Testing,DStar,,,,,Wide area,2020-03-26
145.38750,144.78750,-,,,"Boulder",Boulder,40.03720093,-105.23000336,KC0DS,OPEN,On-Air,DStar,,,,,,2012-11-12
145.40000,144.80000,-,88.5,123.0,"Akron",Washington,40.16059875,-103.21399689,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,,2018-11-02
145.40000,144.80000,-,100.0,,"Aurora - Smoky Hill",Arapahoe,39.60729980,-104.74099731,KB0UDD,OPEN,On-Air,Analog/analog,,,,,,2019-03-09
145.41500,144.81500,-,179.9,,"Woodland Park",Teller,38.99390030,-105.05599976,KA0WUC,OPEN,Off-Air,Analog/analog,,,,,,2012-11-12
145.43000,144.83000,-,141.3,141.3,"Boulder - Lee Hill",Boulder,40.06394910,-105.29068040,N0SZ,OPEN,On-Air,Analog,,,,,,2020-11-26
145.43000,144.83000,-,107.2,,"Trinidad - Raton Pass",Las Animas,36.99739838,-104.46700287,WA6IFI,OPEN,On-Air,Analog/analog,,,,,,2017-10-24
145.44500,144.84500,-,88.5,,"Leadville - Mosquito Pass",Lake,39.28139877,-106.18599701,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,,2021-02-09
145.46000,144.86000,-,107.2,107.2,"Boulder - Eldorado Mountain",Boulder,40.07220078,-105.35399628,W0CRA,OPEN,On-Air,Analog/analog,,347086,3990,,,2017-11-13
145.46000,144.86000,-,67.0,,"Cripple Creek",Teller,38.74660110,-105.17800140,WB0WDF,OPEN,Unknown,Analog/analog,,,,,,2021-01-19
145.47500,144.87500,-,100.0,,"Boulder - Blue Mountain",Jefferson,39.73920059,-104.98400116,KE0SJ,OPEN,On-Air,Analog/analog,,,,,Wide area,2015-05-22
145.49000,144.89000,-,103.5,103.5,"Canon City - Fremont Peak",Fremont,38.45420074,-105.29000092,WD0EKR,OPEN,On-Air,Analog/analog,,,,,,2020-06-19
145.49000,144.89000,-,100.0,100.0,"Idaho Springs - Centennial Cone",Jefferson,39.67940140,-105.49199677,W0TX,OPEN,On-Air,Analog/analog,,,,,,2017-03-11
146.61000,146.01000,-,100.0,,"Boulder",Boulder,39.97829819,-105.27500153,W0DK,OPEN,On-Air,Analog/analog,,,7007,,,2019-08-23
146.61000,146.01000,-,123.0,123.0,"Lamar - 4 Miles East of Lamar",Prowers,38.12803300,-102.53180300,N0LAR,OPEN,On-Air,Analog/analog,,37784,3774,51188,,2021-02-14
146.61000,146.01000,-,123.0,,"Pagosa Springs - Oakbrush Hill",Archuleta,37.19300079,-107.09999847,N0JSP,OPEN,On-Air,Analog/analog,,,,,,2020-09-17
146.61000,146.01000,-,107.2,,"Vail - Bald Mountain",Eagle,39.60609818,-106.35600281,K0RV,OPEN,On-Air,Analog/analog,,,,,,2012-11-10
146.62500,146.02500,-,100.0,100.0,"Fort Collins - Buckhorn Mountain",Larimer,40.61700058,-105.32700348,W0UPS,OPEN,On-Air,Analog/analog,,,,,Wide area,2017-03-11
146.64000,146.04000,-,77.0,77.0,"Center",Rio Grande,37.75310135,-106.10900116,N0KM,OPEN,On-Air,Analog/analog,,,,428602,,2020-04-29
146.64000,146.04000,-,100.0,,"Golden - Centennial Cone",Jefferson,39.75249863,-105.35900116,N0PUF,OPEN,On-Air,Analog/analog,,,,,Wide area,2020-03-13
146.64000,146.04000,-,100.0,100.0,"Pritchett -  Tator Butte",Las Animas,37.36999893,-102.85900116,KZ0DEM,OPEN,On-Air,Analog/analog,,,,,Wide area,2015-12-12
146.65500,146.05500,-,123.0,CSQ,"Pueblo - Pueblo",Pueblo,38.25439835,-104.60900116,K0ST,OPEN,On-Air,Analog/analog,,,,,,2013-05-07
146.67000,146.07000,-,100.0,100.0,"Durango - Eagle Pass",La Plata,37.41529846,-108.01200104,K0EP,OPEN,On-Air,Analog/analog,,,,,Wide area,2019-04-01
146.67000,146.07000,-,100.0,100.0,"Idaho Springs - Squaw Mountain",Clear Creek,39.67940140,-105.49199677,KB0UDD,OPEN,On-Air,Analog/analog,,,,,,2019-11-11
146.67000,146.07000,-,107.2,,"Snowmass Village",Pitkin,39.21310043,-106.93699646,K0CL,OPEN,On-Air,Analog/analog,,,,,Wide area,2012-11-10
146.68500,146.08500,-,123.0,123.0,"Estes Park",Larimer,40.36009979,-105.45099640,N0FH,OPEN,On-Air,Analog/analog,,625757,7268,,,2020-03-22
146.68500,146.08500,-,107.2,107.2,"Lake George - Badger Mountain",Park,39.04940033,-105.51300049,NX0G,OPEN,On-Air,Analog/analog,,,,,,2016-11-17
146.70000,146.10000,-,100.0,,"Boulder - Table Mountain",Boulder,39.97750092,-105.27899933,W0DK,OPEN,On-Air,Analog/analog,,,,,,2013-03-17
146.70000,146.10000,-,107.2,,"Breckenridge",Summit,39.48170090,-106.03800201,WB0QMR,OPEN,On-Air,Analog/analog,,,3972,,,2013-01-07
146.70000,146.10000,-,100.0,100.0,"Durango - Missionary Ridge",La Plata,37.38280106,-107.77799988,K0EP,OPEN,On-Air,Analog/analog,,,,,,2018-01-16
146.71500,146.11500,-,123.0,123.0,"Denver",Denver,39.73920059,-104.98400116,N0JXN,OPEN,On-Air,Analog/analog,,,,,,2017-04-09
146.73000,146.13000,-,91.5,91.5,"Boulder",Boulder,40.05709839,-105.24299622,K0DK,OPEN,On-Air,Analog/analog,,115482,,,,2017-05-02
146.73000,146.13000,-,88.5,123.0,"Fort Collins - Buckhorn",Larimer,40.61134600,-105.32423300,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,Wide area,2020-10-14
146.73000,146.13000,-,88.5,,"Walsenburg - N Rattlesnake Butte",Huerfano,37.77190018,-104.45600128,W0PHC,OPEN,On-Air,Analog/analog,,,,,Wide area,2019-12-10
146.74500,146.14500,-,100.0,,"Nathrop",Chaffee,38.71289825,-106.19999695,W0LSD,OPEN,On-Air,Analog/analog,,,,,,2019-07-21
146.76000,146.16000,-,100.0,,"Boulder - Gunbarrel Hill",Boulder,40.05559921,-105.15699768,W0IA,OPEN,On-Air,Analog/analog,,,,,Wide area,2017-03-11
146.76000,146.16000,-,107.2,107.2,"Colorado Springs - Cheyenne Mountain",El Paso,38.73720169,-104.88099670,KC0CVU,OPEN,On-Air,Analog/analog,,,,,,2018-01-15
146.76000,146.16000,-,107.2,,"Rifle",Garfield,39.47449875,-107.77200317,N0SWE,OPEN,On-Air,Analog/analog,,243117,,,,2015-06-03
146.79000,146.19000,-,107.2,107.2,"Montrose",Montrose,38.47829819,-107.87599945,KD5OPD,OPEN,On-Air,Analog/analog,,,,,,2012-09-06
146.79000,146.19000,-,88.5,CSQ,"Pueblo - Baculite Mesa",Pueblo,38.36240005,-104.55999756,W0PHC,OPEN,On-Air,Analog/analog,,,,,Wide area,2019-12-10
146.82000,146.22000,-,123.0,,"Granby",Grand,40.08610153,-105.93900299,KA0YDW,OPEN,Off-Air,Analog/analog,,,,,,2014-09-06
146.82000,146.22000,-,107.2,,"Grand Junction - 9 Mile, Hwy 141, Unaweep",Mesa,39.06389999,-108.55000305,W0GJT,OPEN,On-Air,Analog/analog,,,,43554,Wide area,2019-02-12
146.82000,146.22000,-,107.2,,"Woodland Park",Teller,38.99390030,-105.05599976,NX0G,OPEN,On-Air,Analog/analog,,,,,,2020-06-15
146.85000,146.25000,-,156.7,103.5,"Colorado Springs",El Paso,38.83969879,-104.74379730,AD0TP,OPEN,On-Air,Analog/analog,,,,,,2020-02-10
146.85000,146.25000,-,88.5,123.0,"Glenwood Springs - Sunlight Peak",Garfield,39.42639923,-107.37999725,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,Wide area,2016-05-23
146.85000,146.25000,-,100.0,100.0,"Greeley - UNC",Weld,40.40359879,-104.69999695,W0UPS,OPEN,On-Air,Analog/analog,,,,,,2017-05-08
146.88000,146.28000,-,100.0,,"Centennial - Warren Mountain",Jefferson,39.50419998,-105.12799835,N0PUF,OPEN,On-Air,Analog/analog,,,,,Wide area,2020-03-13
146.88000,146.28000,-,107.2,,"Glenwood Springs - Sunlight Peak",Garfield,39.42639923,-107.37999725,KI0G,OPEN,On-Air,Analog/analog,,,,,,2012-11-10
146.88000,146.28000,-,88.5,CSQ,"Pueblo - 12 Mile Hill",Pueblo,38.20700073,-104.70700073,W0PHC,OPEN,On-Air,DMR/analog,,,,,Wide area,2019-12-10
146.89500,146.29500,-,100.0,100.0,"Bailey - Dick Mountain",Park,39.40560150,-105.47299957,AB0PC,OPEN,On-Air,Analog/analog,,,,45835,,2017-07-05
146.89500,146.29500,-,103.5,,"Stratton",Kit Carson,39.30329895,-102.60500336,KE0AE,OPEN,On-Air,Analog/analog,,830619,,,,2018-04-01
146.91000,146.31000,-,151.4,151.4,"Colorado Springs",El Paso,38.83810043,-104.82099915,K0IRP,OPEN,On-Air,Analog/analog,,,,,,2016-08-10
146.91000,146.31000,-,123.0,127.3,"Gold Hill ",Boulder,40.06330109,-105.41000366,W0JZ,OPEN,On-Air,Analog/analog,,,,,,2020-03-31
146.91000,146.31000,-,107.2,107.2,"Montrose",Montrose,38.47829819,-107.87599945,KC0UUX,OPEN,On-Air,Analog/analog,,,,,,2014-12-13
146.92500,146.32500,-,,,"Creede",Mineral,37.84920120,-106.92600250,WA0JS,OPEN,On-Air,Analog/analog,,,,,,2012-11-12
146.94000,146.34000,-,107.2,107.2,"Grand Junction - Black Ridge (Above Colorado Ntl Monument)",Mesa,39.06560135,-108.74800110,W0RRZ,OPEN,On-Air,Analog/analog,,,,,,2016-05-11
146.94000,146.34000,-,103.5,103.5,"Idaho Springs - Squaw Mountain",Clear Creek,39.67979813,-105.49299622,W0WYX,OPEN,On-Air,Analog/analog,,,,,Wide area,2017-03-11
146.94000,146.34000,-,94.8,94.8,"Monte Vista",Rio Grande,37.57916960,-106.14808420,K0SLV,OPEN,On-Air,YSF,,,,,,2020-06-29
146.95500,146.35500,-,,,"Holyoke",Phillips,40.58440018,-102.30200195,N0JUN,OPEN,Off-Air,Analog/analog,,,,,,2012-11-10
146.97000,146.37000,-,100.0,,"Colorado Springs - Pikes Peak",El Paso,38.84000015,-105.04000092,KB0SRJ,OPEN,On-Air,Analog/analog,,,,,Wide area,2020-07-16
146.97000,146.37000,-,88.5,123.0,"Craig",Moffat,40.51520157,-107.54599762,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,,2017-01-06
146.98500,146.38500,-,100.0,100.0,"Golden - Centennial Cone",Denver,39.75249863,-105.35900116,K0FEZ,OPEN,On-Air,Analog/analog,,,3346,,,2016-09-05
147.00000,147.60000,+,100.0,100.0,"Gilcrest",Weld,40.26113900,-104.70630600,KC0KWD,OPEN,On-Air,YSF/analog,,,3839,,,2021-01-30
147.00000,147.60000,+,CSQ,CSQ,"Pueblo - CSU",Pueblo,38.30690002,-104.62000275,NE0Z,PRIVATE,On-Air,Analog/analog,,,,,,2014-02-26
147.01500,147.61500,+,107.2,,"Cripple Creek",Teller,38.74660110,-105.17800140,NX0G,OPEN,On-Air,Analog/analog,,,,,,2020-06-21
147.03000,147.63000,+,100.0,,"Allenspark - AFPD Station #5",Boulder,40.17269897,-105.46800232,KI0HG,OPEN,On-Air,Analog/analog,,,,,,2017-01-20
147.04500,147.64500,+,123.0,CSQ,"Northglenn",Adams,39.88560104,-104.98699951,K0ML,OPEN,On-Air,Analog/analog,,,,,,2017-04-10
147.06000,147.66000,+,103.5,,"Genoa",Lincoln,39.26879883,-103.48799896,KE0AE,OPEN,On-Air,Analog/analog,,,,42740,,2019-07-21
147.06000,147.66000,+,77.0,77.0,"Westcliffe",Custer,38.13470078,-105.46499634,KB0TUC,OPEN,On-Air,Analog/analog,,,,,,2019-08-16
147.07500,147.67500,+,88.5,123.0,"Kremmling - Santoy Peak",Grand,40.05889893,-106.38800049,KB0VJJ,OPEN,Unknown,Analog/analog,,,,,,2020-07-16
147.07500,147.67500,+,131.8,69.3,"Palmer Lake - Monument Hill",Douglas,39.13600159,-104.92700195,N0XLF,OPEN,On-Air,Analog/analog,,10079,,,Wide area,2020-10-19
147.09000,147.69000,+,118.8,118.8,"Springfield",Baca,37.40829849,-102.61399841,KZ0DEM,OPEN,Off-Air,Analog/analog,,,,,,2012-11-12
147.10500,147.70500,+,,,"Grand Junction",Mesa,39.06389999,-108.55100250,K0SSI,OPEN,On-Air,Analog/analog,,,,,,2013-04-20
147.10500,147.70500,+,107.2,107.2,"Simla",Elbert,39.22669983,-104.08999634,WA0DE,OPEN,On-Air,Analog/analog,,,,,,2020-02-11
147.12000,147.72000,+,88.5,88.5,"Critchell - Critchell Mountain",Jefferson,39.51480103,-105.35299683,N0ARA,OPEN,On-Air,Analog/analog,,,,,,2016-01-17
147.12000,147.72000,+,,,"Gunnison",Gunnison,38.54579926,-106.92500305,W0VTL,OPEN,On-Air,Analog/analog,,,,,,2014-09-01
147.13500,147.73500,+,100.0,,"Colorado Springs",El Paso,38.83969879,-104.80000305,AA0L,OPEN,On-Air,Analog/analog,,,,,,2016-04-08
147.13500,147.73500,+,100.0,100.0,"Durango - Smelter Mountain",La Plata,37.26219940,-107.90599823,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,2018-01-15
147.13500,147.73500,+,123.0,,"Lake City - Hill 71",Hinsdale,38.02999878,-107.31500244,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,2020-07-20
147.15000,147.75000,+,100.0,100.0,"Golden - Guy Hill",Jefferson,39.77719879,-105.32900238,W0CBI,OPEN,On-Air,Analog/analog,,,,,,2016-01-17
147.15000,147.75000,+,100.0,,"Ignacio - Spring Creek",La Plata,37.11500168,-107.63300323,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,2018-01-16
147.15000,147.75000,+,123.0,123.0,"Lamar - 1.7 Miles S.E.",Prowers,38.03688600,-102.59944800,W0CTS,OPEN,On-Air,DMR,1,,,,,2020-06-12
147.16500,147.76500,+,88.5,123.0,"Steamboat Springs",Routt,40.48500061,-106.83200073,KB0VJJ,OPEN,Unknown,Analog/analog,,,,,,2020-07-16
147.18000,147.78000,+,100.0,,"Colorado Springs - Almagre Mountain",El Paso,38.77249908,-104.99299622,AA0SP,PRIVATE,On-Air,Analog/analog,,,,,,2017-03-09
147.19500,147.79500,+,118.8,,"Cedaredge - Cedar Mesa",Delta,38.90159988,-107.92600250,KC0QXX,OPEN,Off-Air,Analog/analog,,,,,,2020-10-17
147.19500,147.79500,+,100.0,,"Loveland - Namaqua Hill",Larimer,40.39849854,-105.12500000,W0LRA,OPEN,On-Air,Analog/analog,,,,,,2016-08-18
147.21000,147.81000,+,100.0,100.0,"Lakewood - Moffat Treatment Plant",Jefferson,39.75049973,-105.12300110,KD0SSP,OPEN,On-Air,Analog/analog,,,,,,2020-10-19
147.21000,147.81000,+,107.2,107.2,"Steamboat Springs",Routt,40.48500061,-106.83100128,KD0H,OPEN,On-Air,Analog/analog,,,,,,2014-09-27
147.22500,147.82500,+,107.2,107.2,"Larkspur - Westcreek",Douglas,39.17549896,-105.03399658,W0CRA,OPEN,On-Air,Analog/analog,,347086,3990,,Wide area,2017-11-13
147.24000,147.84000,+,,,"Estes Park - Prospect Mtn",Larimer,40.36059952,-105.51999664,N0WAR,OPEN,On-Air,DMR,2,,,,Wide area,2019-11-27
147.24000,147.84000,+,156.7,156.7,"Leadville - Quail Mountain",Lake,39.25080109,-106.29299927,N0ZSN,OPEN,On-Air,Analog/analog,,,,,,2019-07-23
147.24000,147.84000,+,103.5,CSQ,"Pueblo",Pueblo,38.23059845,-104.61100006,KJ0T,OPEN,On-Air,Analog/analog,,,,,,2012-06-13
147.27000,147.87000,+,,,"Colorado Springs",El Paso,38.83810043,-104.82099915,,OPEN,Unknown,Analog/analog,,,,,,2020-09-27
147.27000,147.87000,+,100.0,100.0,"Longmont",Boulder,40.16719818,-105.10099792,W0ENO,OPEN,On-Air,Analog/analog,,,,,Wide area,2020-08-30
147.27000,147.87000,+,127.3,,"Ouray - Engineer Mountain",Ouray,38.02280045,-107.67099762,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,2018-01-15
147.27000,147.87000,+,127.3,,"Silverton - Engineer Mountain",San Juan,37.69919968,-107.80599976,KB5ITT,OPEN,On-Air,Analog/analog,,,,,Wide area,2017-04-14
147.28500,147.88500,+,88.5,123.0,"Salida - Methodist Mountain",Chaffee,38.45959854,-106.01100159,KB0VJJ,OPEN,Unknown,Analog/analog,,,,,Wide area,2021-02-09
147.28500,147.88500,+,88.5,123.0,"Winter Park - Winter Park",Grand,39.88650131,-105.76300049,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,,2017-01-06
147.30000,147.90000,+,103.5,103.5,"Evergreen - Squaw Mountain",Clear Creek,39.67810059,-105.48699951,N0PYY,OPEN,On-Air,Analog/analog,,,,,Wide area,2017-03-11
147.30000,147.90000,+,107.2,,"Glenwood Springs - Three Mile Ridge",Garfield,39.55059814,-107.32399750,K0VQ,OPEN,On-Air,Analog/analog,,266359,,,Wide area,2012-11-10
147.31500,147.91500,+,,,"Centennial",Arapahoe,39.58069992,-104.87699890,N0KEG,OPEN,Off-Air,DMR,1,,,,,2020-06-13
147.33000,147.93000,+,100.0,,"Lakewood - Green Mountain",Jefferson,39.68220139,-105.14299774,W0TX,OPEN,On-Air,Analog/analog,,,,,,2017-03-31
147.33000,147.93000,+,107.2,,"Paonia",Delta,38.86830139,-107.59200287,KI0MR,OPEN,On-Air,Analog/analog,,,,,Wide area,2016-05-16
147.33000,147.93000,+,118.8,118.8,"Springfield",Baca,37.40829849,-102.61399841,KZ0DEM,OPEN,On-Air,Analog/analog,,97142,7142,,,2018-03-12
147.34500,147.94500,+,107.2,107.2,"Colorado Springs - Cheyenne Mountain",El Paso,38.73720169,-104.87999725,KC0CVU,OPEN,On-Air,Analog/analog,,,3854,,Wide area,2018-01-15
147.34500,147.94500,+,88.5,123.0,"Durango - Missionary Ridge",La Plata,37.34999847,-107.76699829,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,,2020-07-16
147.34500,147.94500,+,88.5,123.0,"Vail",Eagle,39.65539932,-106.45700073,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,Wide area,2017-01-06
147.35500,146.75500,-,88.5,123.0,"Grand Junction - Grand Mesa",Mesa,39.05199814,-108.56500244,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,,2017-01-06
147.36000,147.96000,+,100.0,,"Cedaredge",Delta,38.90159988,-107.92600250,W0ALC,OPEN,On-Air,Analog/analog,,,,,,2019-08-26
147.36000,147.96000,+,100.0,100.0,"Fort Collins - CSU Durward Hall",Larimer,40.57080078,-105.07700348,W0QEY,OPEN,On-Air,Analog/analog,,,,,,2017-03-11
147.36000,147.96000,+,,123.0,"La Junta - North La Junta",Otero,37.99950027,-103.52899933,KC0ITF,PRIVATE,On-Air,YSF/analog,,,,,,2018-09-30
147.36000,147.96000,+,107.2,107.2,"Lake George - Badger Mountain",Park,39.04890060,-105.51200104,KC0CVU,OPEN,On-Air,Analog/analog,,,3854,,Wide area,2018-01-15
147.37500,147.97500,+,156.7,,"Silverton - Kendall Mountain",San Juan,37.79330063,-107.62899780,KB5ITS,OPEN,On-Air,Analog/analog,,,,,Wide area,2018-01-15
147.37500,147.97500,+,100.0,100.0,"Trinidad - Raton Pass",Las Animas,37.16949844,-104.50099945,K0BV,OPEN,On-Air,Analog/analog,,,,,,2017-10-24
147.39000,147.99000,+,88.5,123.0,"Breckenridge - Bald Mountain",Summit,39.44390106,-105.96900177,KB0VJJ,OPEN,On-Air,Analog/analog,,,,,Wide area,2019-11-08
147.39000,147.99000,+,107.2,,"Carbondale - Four Mile Ridge",Garfield,39.40000153,-107.31500244,K0SNO,OPEN,On-Air,Analog/analog,,,,,,2016-07-14
147.39000,147.99000,+,103.5,,"Colorado Springs",El Paso,38.83810043,-104.82099915,W0MOG,OPEN,On-Air,Analog/analog,,,,,,2016-08-10
147.39000,147.99000,+,,,"Fort Collins - Timnath",Larimer,40.54460144,-104.94400024,W0DMR,OPEN,On-Air,DMR,2,,,,,2019-11-27
147.39000,147.99000,+,107.2,,"Grand Junction",Mesa,39.06389999,-108.55000305,KE0TY,OPEN,Off-Air,Analog/analog,,,,,,2012-11-10
147.42000,147.42000,x,100.0,,"Pueblo",Pueblo,38.28597150,-104.57530630,W5ALC,OPEN,On-Air,Analog/analog,,,,49947,,2021-02-05
223.96000,222.36000,-,103.5,103.5,"Canon City - Fremont Peak",Fremont,38.45420074,-105.29000092,WD0EKR,OPEN,On-Air,Analog/analog,,,,,Wide area,2017-10-04
224.00000,222.40000,-,103.5,103.5,"Golden - Guy Hill",Jefferson,39.77719879,-105.32900238,N0MHU,OPEN,On-Air,Analog/analog,,,,,,2017-03-11
224.02000,222.42000,-,,,"Boulder - Lee Hill",Boulder,40.07220078,-105.35399628,W0IA,OPEN,On-Air,Analog/analog,,217336,,,,2017-03-11
224.02000,222.42000,-,,,"Glenwood Springs",Garfield,39.55049896,-107.32499695,KI0G,CLOSED,Off-Air,Analog/analog,,,,,,2012-11-12
224.06000,222.46000,-,,,"Colorado Springs",El Paso,38.83390045,-104.82099915,KB0SRJ,CLOSED,Off-Air,Analog/analog,,,,,Wide area,2012-11-12
224.26000,222.66000,-,88.5,CSQ,"Pueblo - Baculite Mesa",Pueblo,38.39250183,-104.55500031,W0PHC,OPEN,On-Air,Analog/analog,,,,,Wide area,2020-07-19
